class,N,time,D
np,6,0.4,4.3785366605724e-11
sp,6,0.4,1.60718481212988e-09
tp,6,0.4,8.00191276520324e-11
np,7,0.4,1.79659213643848e-19
sp,7,0.4,1.96229529915043e-15
tp,7,0.4,1.31892741731642e-13
np,8,0.4,1.55353918532023e-20
sp,8,0.4,7.21233568623829e-20
tp,8,0.4,5.89288116925035e-16
np,9,0.4,0
sp,9,0.4,0
tp,9,0.4,3.91994620299932e-21
np,10,0.4,4.56087261881378e-21
sp,10,0.4,3.87888090817141e-20
tp,10,0.4,1.50028567928026e-20
np,11,0.4,1.19885572226236e-20
sp,11,0.4,2.74352203817874e-21
tp,11,0.4,0
np,12,0.4,1.71790067328138e-20
sp,12,0.4,0
tp,12,0.4,0
np,13,0.4,3.28259565551977e-21
sp,13,0.4,3.71569474890394e-21
tp,13,0.4,9.99409527922042e-21
np,14,0.4,0
sp,14,0.4,0
tp,14,0.4,0
np,15,0.4,7.64290428915776e-22
sp,15,0.4,1.61258569665922e-21
tp,15,0.4,3.38019955758101e-22
np,1,0.5,0.00329897335093767
sp,1,0.5,0.0032343515091399
tp,1,0.5,0.00316609655539367
np,2,0.5,0.000549765935370721
sp,2,0.5,0.000549999183847331
tp,2,0.5,0.000495868123524142
np,3,0.5,4.01624608693608e-05
sp,3,0.5,4.17778352991636e-05
tp,3,0.5,5.2715914200011e-05
np,4,0.5,8.28372400325519e-07
sp,4,0.5,1.43062168938347e-06
tp,4,0.5,2.83990927575645e-06
np,5,0.5,1.46719338344895e-08
sp,5,0.5,5.1951172034523e-08
tp,5,0.5,2.14305020243128e-08
np,6,0.5,7.29768975247098e-11
sp,6,0.5,2.49575568769747e-09
tp,6,0.5,1.3474880517165e-10
np,7,0.5,4.58649990540742e-19
sp,7,0.5,3.88856802277905e-15
tp,7,0.5,2.42979895699098e-13
np,8,0.5,2.31720664027284e-20
sp,8,0.5,1.59808927637022e-19
tp,8,0.5,1.17492897654861e-15
np,9,0.5,0
sp,9,0.5,5.03884190255655e-21
tp,9,0.5,1.59748345262015e-20
np,10,0.5,1.62547378798421e-20
sp,10,0.5,4.86002035597549e-20
tp,10,0.5,3.05223557499321e-20
np,11,0.5,2.06360411209094e-20
sp,11,0.5,2.30720287066116e-20
tp,11,0.5,0
np,12,0.5,1.61612514820444e-20
sp,12,0.5,2.3253414562268e-21
tp,12,0.5,0
np,13,0.5,1.60834004005387e-21
sp,13,0.5,7.44831749210811e-21
tp,13,0.5,1.07466761877408e-20
np,14,0.5,0
sp,14,0.5,3.20380367572715e-21
tp,14,0.5,0
np,15,0.5,1.54222890120504e-21
sp,15,0.5,8.10747504950216e-22
tp,15,0.5,6.10472185158307e-22
np,1,0.6,0.00338210627798765
sp,1,0.6,0.00330763067957155
tp,1,0.6,0.00328501329245197
np,2,0.6,0.000628644890494058
sp,2,0.6,0.000630435599389033
tp,2,0.6,0.000565697866906256
np,3,0.6,4.95295487900058e-05
sp,3,0.6,5.20343281214347e-05
tp,3,0.6,6.44798710835099e-05
np,4,0.6,1.14994614379904e-06
sp,4,0.6,1.94304275527331e-06
tp,4,0.6,3.78382457576982e-06
np,5,0.6,2.19182594824622e-08
sp,5,0.6,7.58152402513602e-08
tp,5,0.6,3.22588593711549e-08
