class,N,time,D
tp,13,9.2,0
np,14,9.2,8.43982081889416e-23
sp,14,9.2,6.55490866987856e-21
tp,14,9.2,0
np,15,9.2,0
sp,15,9.2,3.65173406733276e-21
tp,15,9.2,0
np,1,9.3,4.72032050073415e-05
sp,1,9.3,2.24875520190374e-08
tp,1,9.3,3.71435555893743e-05
np,2,9.3,0.000316772044631314
sp,2,9.3,3.72766311213413e-05
tp,2,9.3,0.000316253847924677
np,3,9.3,0.000488309743579409
sp,3,9.3,0.000320295819799877
tp,3,9.3,0.000718653769118397
np,4,9.3,0.000919379460335569
sp,4,9.3,0.000746430491947275
tp,4,9.3,0.00097926358954451
np,5,9.3,0.000900332546938897
sp,5,9.3,0.000941839816037274
tp,5,9.3,0.00122399128565003
np,6,9.3,0.000548621679962169
sp,6,9.3,0.00070359675115531
tp,6,9.3,0.000677738001379921
np,7,9.3,0.000351875782891104
sp,7,9.3,0.00061502646815338
tp,7,9.3,0.000239104531240684
np,8,9.3,6.62602809490935e-05
sp,8,9.3,0.000275907295552526
tp,8,9.3,8.82569047187072e-05
np,9,9.3,1.60834254103757e-05
sp,9,9.3,5.94835693149846e-05
tp,9,9.3,6.65638218493067e-05
np,10,9.3,2.00776525389569e-07
sp,10,9.3,6.0907249274848e-06
tp,10,9.3,1.15184686491101e-05
np,11,9.3,2.1909052452016e-10
sp,11,9.3,3.43194358488278e-08
tp,11,9.3,9.74983181355133e-08
np,12,9.3,1.15673211334095e-20
sp,12,9.3,6.73674308779516e-15
tp,12,9.3,2.32950259518698e-20
np,13,9.3,0
sp,13,9.3,8.33726863029309e-21
tp,13,9.3,1.83353678170406e-21
np,14,9.3,7.73119722334816e-22
sp,14,9.3,1.45782273577988e-20
tp,14,9.3,0
np,15,9.3,0
sp,15,9.3,7.33318910734434e-21
tp,15,9.3,0
np,1,9.4,4.31542927669119e-05
sp,1,9.4,1.51481889989966e-08
tp,1,9.4,3.16839582793563e-05
np,2,9.4,0.000308023684109362
sp,2,9.4,3.33125777480404e-05
tp,2,9.4,0.000304498724880018
np,3,9.4,0.000476221938759259
sp,3,9.4,0.000300365104582756
tp,3,9.4,0.000700977365373324
np,4,9.4,0.000903043147802424
sp,4,9.4,0.000729768728543832
tp,4,9.4,0.000952153804931927
np,5,9.4,0.00091585108494988
sp,5,9.4,0.000937769581433228
tp,5,9.4,0.0012086127983727
np,6,9.4,0.00054778618467211
sp,6,9.4,0.000685585107649078
tp,6,9.4,0.000698159184479919
np,7,9.4,0.000369221684643377
sp,7,9.4,0.000625878320042378
tp,7,9.4,0.000250739287626484
np,8,9.4,7.38680874154004e-05
sp,8,9.4,0.000289262915588738
tp,8,9.4,8.8801716489472e-05
np,9,9.4,1.85033490814283e-05
sp,9,9.4,6.65683145986983e-05
tp,9,9.4,6.60217139129452e-05
np,10,9.4,2.75924911778171e-07
sp,10,9.4,7.40620612689901e-06
tp,10,9.4,1.38120735637494e-05
np,11,9.4,3.53555576046479e-10
sp,11,9.4,4.89738492607786e-08
tp,11,9.4,1.36192795012987e-07
np,12,9.4,1.73470175178224e-20
sp,12,9.4,1.29137661349637e-14
tp,12,9.4,2.3859442880219e-20
np,13,9.4,0
sp,13,9.4,1.33196038589618e-20
tp,13,9.4,6.1747608505906e-21
np,14,9.4,2.18692012002556e-21
sp,14,9.4,1.63596526774919e-20
tp,14,9.4,0
np,15,9.4,0
sp,15,9.4,4.43048814275425e-21
tp,15,9.4,0
np,1,9.5,3.92681859760332e-05
sp,1,9.5,1.01321929859644e-08
tp,1,9.5,2.6839010471592e-05
np,2,9.5,0.000297974882358713
sp,2,9.5,3.00949870625135e-05
tp,2,9.5,0.000292500881735881
np,3,9.5,0.000465699919894744
sp,3,9.5,0.000280954912144059
tp,3,9.5,0.000682778481587135
np,4,9.5,0.000886267719620412
sp,4,9.5,0.00071229122032941
tp,4,9.5,0.000925472617108917
np,5,9.5,0.0009301453107814
sp,5,9.5,0.000933586852235873
tp,5,9.5,0.00119073353846764
np,6,9.5,0.000547111400311598
sp,6,9.5,0.000668248104114408
tp,6,9.5,0.000718480164687125
np,7,9.5,0.000385953737094375
sp,7,9.5,0.000634460481678964
tp,7,9.5,0.00026350319309297
np,8,9.5,8.21627641567142e-05
sp,8,9.5,0.000302492059289096
tp,8,9.5,8.9166341002737e-05
np,9,9.5,2.11307785678483e-05
sp,9,9.5,7.40096419337343e-05
tp,9,9.5,6.4826600561217e-05
np,10,9.5,3.76248196764778e-07
sp,10,9.5,8.9365692104535e-06
tp,10,9.5,1.64057225593325e-05
np,11,9.5,5.67343017516369e-10
sp,11,9.5,6.93564808943401e-08
tp,11,9.5,1.88733795761834e-07
np,12,9.5,5.96609577726451e-21
sp,12,9.5,2.47146036759719e-14
tp,12,9.5,3.54898523128704e-21
np,13,9.5,6.25282472311418e-23
sp,13,9.5,1.72024129578459e-22
tp,13,9.5,7.50535703013572e-21
np,14,9.5,1.08969186339155e-22
sp,14,9.5,9.38585588334438e-21
tp,14,9.5,2.53475717749506e-24
np,15,9.5,0
sp,15,9.5,7.22616814505134e-23
tp,15,9.5,0
np,1,9.6,3.55463268127515e-05
sp,1,9.6,6.73295445350281e-09
tp,1,9.6,2.25765219973501e-05
np,2,9.6,0.000286775743676708
sp,2,9.6,2.75684564569645e-05
tp,2,9.6,0.000280252327981799
np,3,9.6,0.000456574243088735
sp,3,9.6,0.000262212053079903
tp,3,9.6,0.000664250845515145
np,4,9.6,0.000868887105066173
sp,4,9.6,0.000693934734522044
tp,4,9.6,0.000899280848970736
np,5,9.6,0.000942856911358749
sp,5,9.6,0.000929031972276379
tp,5,9.6,0.00117064099652329
np,6,9.6,0.000546758131123927
sp,6,9.6,0.000652100386218524
tp,6,9.6,0.000738676720994136
np,7,9.6,0.000401976930266386
sp,7,9.6,0.000640631546365625
tp,7,9.6,0.000277425782620379
np,8,9.6,9.11822114245005e-05
sp,8,9.6,0.000315601422783055
tp,8,9.6,8.93529912802004e-05
np,9,9.6,2.39585394004537e-05
sp,9,9.6,8.17557514219739e-05
tp,9,9.6,6.30171760877058e-05
np,10,9.6,5.08870697933107e-07
sp,10,9.6,1.0699724981558e-05
tp,10,9.6,1.92983992635905e-05
np,11,9.6,9.0459634906006e-10
sp,11,9.6,9.74343036958723e-08
tp,11,9.6,2.59357119857104e-07
np,12,9.6,1.19297582092029e-20
sp,12,9.6,4.71561611812915e-14
tp,12,9.6,1.49741521445388e-20
np,13,9.6,2.59492226009261e-21
sp,13,9.6,7.57205385669538e-21
tp,13,9.6,6.3098106552777e-21
np,14,9.6,0
sp,14,9.6,7.75633504827625e-21
tp,14,9.6,1.05192422866054e-22
np,15,9.6,0
sp,15,9.6,3.38922214329712e-21
tp,15,9.6,7.93050260531242e-24
np,1,9.7,3.19911467611057e-05
sp,1,9.7,4.43120221611851e-09
tp,1,9.7,1.88484988271535e-05
np,2,9.7,0.000274637336325765
sp,2,9.7,2.56584288146199e-05
tp,2,9.7,0.000267782811817012
np,3,9.7,0.000448621518299164
sp,3,9.7,0.000244254296854795
tp,3,9.7,0.000645600509833416
np,4,9.7,0.000850785189680503
sp,4,9.7,0.000674698755600325
tp,4,9.7,0.00087362707568892
np,5,9.7,0.000953723060606803
sp,5,9.7,0.000923860543372251
tp,5,9.7,0.00114867168628243
np,6,9.7,0.000546850121055545
sp,6,9.7,0.00063757664567642
tp,6,9.7,0.000758714284807079
np,7,9.7,0.000417222057647987
sp,7,9.7,0.000644350813719652
tp,7,9.7,0.00029249308130818
np,8,9.7,0.000100939992797358
sp,8,9.7,0.000328597715517328
tp,8,9.7,8.93795013088227e-05
np,9,9.7,2.69733258180093e-05
sp,9,9.7,8.97451430794358e-05
tp,9,9.7,6.06613998008448e-05
np,10,9.7,6.81430313570552e-07
sp,10,9.7,1.27061781422361e-05
tp,10,9.7,2.24729476271555e-05
np,11,9.7,1.42675200476685e-09
sp,11,9.7,1.35469618852251e-07
tp,11,9.7,3.5271966891014e-07
np,12,9.7,1.40096469175278e-20
sp,12,9.7,8.8928185673804e-14
tp,12,9.7,2.33263824478893e-20
np,13,9.7,3.06576087723749e-22
sp,13,9.7,8.55812605592929e-21
tp,13,9.7,7.12145331158561e-21
np,14,9.7,1.90978593558803e-22
sp,14,9.7,8.3869688177801e-21
tp,14,9.7,0
np,15,9.7,1.46229036144611e-23
sp,15,9.7,5.94607315579023e-21
tp,15,9.7,1.04418284303288e-22
np,1,9.8,2.86112889305373e-05
sp,1,9.8,2.88821487547444e-09
tp,1,9.8,1.56157432960094e-05
np,2,9.8,0.000261773374522769
sp,2,9.8,2.42995270640738e-05
tp,2,9.8,0.000255144101831966
np,3,9.8,0.000441627139855355
sp,3,9.8,0.000227196863607792
tp,3,9.8,0.000627027712174112
np,4,9.8,0.00083187291942546
sp,4,9.8,0.000654604463884376
tp,4,9.8,0.000848574177961572
np,5,9.8,0.000962514202935556
sp,5,9.8,0.000917837933819549
tp,5,9.8,0.00112512143705646
np,6,9.8,0.000547486446618432
sp,6,9.8,0.000625077565559898
tp,6,9.8,0.000778537747148608
np,7,9.8,0.000431614583545684
sp,7,9.8,0.000645583028238765
tp,7,9.8,0.000308694572319026
np,8,9.8,0.000111452227215973
sp,8,9.8,0.000341479672252751
tp,8,9.8,8.92736645536829e-05
np,9,9.8,3.01645166945469e-05
sp,9,9.8,9.79203339741914e-05
tp,9,9.8,5.78288080645127e-05
np,10,9.8,9.03552261958641e-07
sp,10,9.8,1.49681818852876e-05
tp,10,9.8,2.59074327153487e-05
np,11,9.8,2.22626870141321e-09
sp,11,9.8,1.86429256297225e-07
tp,11,9.8,4.74756931540305e-07
np,12,9.8,1.02689957400635e-20
sp,12,9.8,1.65788670130543e-13
tp,12,9.8,2.944374976222e-20
np,13,9.8,2.29932065792791e-21
sp,13,9.8,2.14220130995833e-20
tp,13,9.8,8.95907481049173e-21
np,14,9.8,1.66124209024031e-21
sp,14,9.8,1.464727485081e-20
tp,14,9.8,1.98565772015156e-23
np,15,9.8,2.1885612409642e-22
sp,15,9.8,6.84214983227806e-21
tp,15,9.8,0
np,1,9.9,2.54170387404355e-05
sp,1,9.9,1.86426394594427e-09
tp,1,9.9,1.28366900217623e-05
np,2,9.9,0.000248414324546907
sp,2,9.9,2.34216486622274e-05
tp,2,9.9,0.000242410167806045
np,3,9.9,0.000435361861310089
sp,3,9.9,0.00021113899908875
tp,3,9.9,0.000608730571643028
np,4,9.9,0.000812100811342685
sp,4,9.9,0.000633707694785834
tp,4,9.9,0.000824194646448985
np,5,9.9,0.000969066370380374
sp,5,9.9,0.000910753859966437
tp,5,9.9,0.00110029178061619
np,6,9.9,0.000548735046129016
sp,6,9.9,0.000614945170578278
tp,6,9.9,0.000798069397456585
np,7,9.9,0.000445086619844362
sp,7,9.9,0.000644349406839794
tp,7,9.9,0.000325999490318894
np,8,9.9,0.000122720315228978
sp,8,9.9,0.000354237968538112
tp,8,9.9,8.90782791792645e-05
np,9,9.9,3.35207858742607e-05
sp,9,9.9,0.00010622281843969
tp,9,9.9,5.46007195675956e-05
np,10,9.9,1.1864186498091e-06
sp,10,9.9,1.74947808984004e-05
tp,10,9.9,2.95682530188412e-05
np,11,9.9,3.43706245421905e-09
sp,11,9.9,2.53958807116089e-07
tp,11,9.9,6.32480895321393e-07
np,12,9.9,2.53589498060467e-22
sp,12,9.9,3.05611553687288e-13
tp,12,9.9,1.0775232268486e-20
np,13,9.9,7.77185831342634e-22
sp,13,9.9,1.51816336382557e-21
tp,13,9.9,7.14475077525664e-22
np,14,9.9,1.16086338121483e-21
sp,14,9.9,6.15443321041267e-21
tp,14,9.9,1.37138379446432e-22
np,15,9.9,1.00118146747003e-21
sp,15,9.9,5.06460977826353e-21
tp,15,9.9,0
np,1,10,2.2419021601063e-05
sp,1,10,1.1916057225467e-09
tp,1,10,1.04685786629723e-05
np,2,10,0.000234795338738363
sp,2,10,2.29512921343156e-05
tp,2,10,0.000229671536492219
np,3,10,0.000429590449628386
sp,3,10,0.000196161801800505
tp,3,10,0.00059089888027351
np,4,10,0.000791460308193869
sp,4,10,0.000612094034196043
tp,4,10,0.000800572983087174
np,5,10,0.00097328546374106
sp,5,10,0.000902432806028787
tp,5,10,0.00107448607389758
np,6,10,0.000550631167927859
sp,6,10,0.000607454173722453
tp,6,10,0.000817206378408029
np,7,10,0.000457576446217665
sp,7,10,0.00064073057366138
tp,7,10,0.000344356505031285
np,8,10,0.000134727773891244
sp,8,10,0.000366853345413557
tp,8,10,8.88517528853242e-05
np,9,10,3.70309539869e-05
sp,9,10,0.000114595332561629
tp,9,10,5.10668897617579e-05
np,10,10,1.54279800850371e-06
sp,10,10,2.02912826154568e-05
tp,10,10,3.3409808192003e-05
np,11,10,5.25071670089985e-09
sp,11,10,3.42470326486128e-07
tp,11,10,8.34026425771883e-07
np,12,10,3.24625384889593e-21
sp,12,10,5.5713235144606e-13
tp,12,10,2.389935114788e-20
np,13,10,3.09049066169305e-21
sp,13,10,6.83874438485494e-21
tp,13,10,1.48819525584252e-21
np,14,10,3.28792942512565e-23
sp,14,10,9.92902949503375e-21
tp,14,10,1.35627230845823e-22
np,15,10,1.98725260120511e-21
sp,15,10,5.18829562768637e-21
tp,15,10,9.57044386455314e-23
np,1,10.1,1.96269921238109e-05
sp,1,10.1,7.54191330528958e-10
tp,1,10.1,8.46852812280843e-06
np,2,10.1,0.000221144909783005
sp,2,10.1,2.28130297712637e-05
tp,2,10.1,0.000217029159657085
np,3,10.1,0.000424080383137993
sp,3,10.1,0.000182326686189703
tp,3,10.1,0.000573708577125256
np,4,10.1,0.000769983237148047
sp,4,10.1,0.000589873001029752
tp,4,10.1,0.000777806376134023
np,5,10.1,0.000975148443604051
sp,5,10.1,0.000892742185838857
tp,5,10.1,0.00104800555675118
np,6,10.1,0.000553177455548059
sp,6,10.1,0.000602805463738684
tp,6,10.1,0.000835820040920278
np,7,10.1,0.000469028183692567
sp,7,10.1,0.000634867164681099
tp,7,10.1,0.000363693977929743
np,8,10.1,0.000147437511585753
sp,8,10.1,0.000379295634617557
tp,8,10.1,8.86678087621224e-05
np,9,10.1,4.06848145989702e-05
sp,9,10.1,0.000122984132150388
tp,9,10.1,4.73220161793487e-05
np,10,10.1,1.98700497063504e-06
sp,10,10.1,2.33588355448776e-05
tp,10,10.1,3.73747450215922e-05
np,11,10.1,7.93793515766936e-09
sp,11,10.1,4.57220247173967e-07
tp,11,10.1,1.08864963504366e-06
np,12,10.1,1.06321572680287e-20
sp,12,10.1,1.00458204521664e-12
tp,12,10.1,4.98140698126435e-20
np,13,10.1,2.09223017000359e-21
sp,13,10.1,5.33387214155418e-21
tp,13,10.1,5.36836690420631e-21
np,14,10.1,7.3913342014414e-22
sp,14,10.1,1.31466426693632e-20
tp,14,10.1,0
np,15,10.1,1.90975121204846e-21
sp,15,10.1,5.32394646755153e-21
tp,15,10.1,2.74062710666754e-22
np,1,10.2,1.70488017755154e-05
sp,1,10.2,4.72639203556984e-10
tp,1,10.2,6.79448418120037e-06
np,2,10.2,0.000207674828018251
sp,2,10.2,2.29310835546975e-05
tp,2,10.2,0.000204588182362072
np,3,10.2,0.000418610122617039
sp,3,10.2,0.000169674461311097
tp,3,10.2,0.000557317020558488
np,4,10.2,0.000747739694227867
sp,4,10.2,0.00056717173173396
tp,4,10.2,0.000756003681075998
np,5,10.2,0.000974701475853796
sp,5,10.2,0.000881597870399672
tp,5,10.2,0.00102114526231575
np,6,10.2,0.000556345698994179
sp,6,10.2,0.000601121821920097
tp,6,10.2,0.000853757414672844
np,7,10.2,0.000479391734474161
sp,7,10.2,0.00062695799904034
tp,7,10.2,0.000383920791409396
np,8,10.2,0.000160789781554127
sp,8,10.2,0.000391523745369794
tp,8,10.2,8.8614244103186e-05
np,9,10.2,4.44738504183688e-05
sp,9,10.2,0.000131341156224467
tp,9,10.2,4.34623095645318e-05
np,10,10.2,2.53477280678586e-06
sp,10,10.2,2.66941468985054e-05
tp,10,10.2,4.13948461557183e-05
np,11,10.2,1.18764667426403e-08
sp,11,10.2,6.043696131167e-07
tp,11,10.2,1.4066627796202e-06
np,12,10.2,9.16565048596257e-21
sp,12,10.2,1.79187629333135e-12
tp,12,10.2,7.50546238129904e-20
np,13,10.2,3.46348870750445e-21
sp,13,10.2,4.38514402349641e-21
tp,13,10.2,5.17413256281715e-21
np,14,10.2,1.9076026681942e-21
sp,14,10.2,1.40304505799085e-20
tp,14,10.2,0
np,15,10.2,3.26675666747035e-21
sp,15,10.2,4.20432022597184e-21
tp,15,10.2,0
np,1,10.3,1.4689605343513e-05
sp,1,10.3,2.93259048769128e-10
tp,1,10.3,5.40602080581003e-06
np,2,10.3,0.000194571899667305
sp,2,10.3,2.32309574071521e-05
tp,2,10.3,0.000192451972996975
np,3,10.3,0.000412976535251119
sp,3,10.3,0.000158224975349483
tp,3,10.3,0.000541859131412773
np,4,10.3,0.000724834719842693
sp,4,10.3,0.000544128588312339
tp,4,10.3,0.000735282866616945
np,5,10.3,0.000972055214032427
sp,5,10.3,0.000868966896018601
tp,5,10.3,0.000994189762786671
np,6,10.3,0.000560080199294279
sp,6,10.3,0.000602445867935031
tp,6,10.3,0.000870844849007712
np,7,10.3,0.000488623072615045
sp,7,10.3,0.000617255858389353
tp,7,10.3,0.000404927711498561
np,8,10.3,0.000174701031668297
sp,8,10.3,0.000403486592173
tp,8,10.3,8.87907603384598e-05
np,9,10.3,4.83917558445401e-05
sp,9,10.3,0.00013962594669095
tp,9,10.3,3.95823268518305e-05
np,10,10.3,3.20302291966746e-06
sp,10,10.3,3.02893666231463e-05
tp,10,10.3,4.5392588545062e-05
np,11,10.3,1.75868325184734e-08
sp,11,10.3,7.91017656532979e-07
tp,11,10.3,1.79929026929603e-06
np,12,10.3,0
sp,12,10.3,3.16210866529491e-12
tp,12,10.3,1.43954822634536e-19
np,13,10.3,1.02042403173793e-21
sp,13,10.3,0
tp,13,10.3,3.45736897379235e-21
np,14,10.3,1.35961499368522e-21
sp,14,10.3,7.00141579135202e-21
tp,14,10.3,0
np,15,10.3,3.60015886988004e-21
sp,15,10.3,2.90789687693729e-21
tp,15,10.3,0
np,1,10.4,1.25513385816359e-05
sp,1,10.4,1.80143790218311e-10
tp,1,10.4,4.26498394617105e-06
np,2,10.4,0.000181991739001929
sp,2,10.4,2.36410747613767e-05
tp,2,10.4,0.000180716729695523
np,3,10.4,0.000407001126470261
sp,3,10.4,0.000147977258893867
tp,3,10.4,0.000527444437386873
np,4,10.4,0.000701404135243588
sp,4,10.4,0.000520887086650726
tp,4,10.4,0.0007157671869583
np,5,10.4,0.000967377526920257
sp,5,10.4,0.000854867362049907
tp,5,10.4,0.00096740881004786
np,6,10.4,0.000564302610051204
sp,6,10.4,0.000606740160821465
tp,6,10.4,0.000886893705456848
np,7,10.4,0.000496684930827385
sp,7,10.4,0.000606061057349673
tp,7,10.4,0.000426589208946645
np,8,10.4,0.00018906382896386
sp,8,10.4,0.000415124866029683
tp,8,10.4,8.93059499874118e-05
np,9,10.4,5.24346910365812e-05
sp,9,10.4,0.000147807202605486
tp,9,10.4,3.57722288306181e-05
np,10,10.4,4.00951842185939e-06
sp,10,10.4,3.41321575402943e-05
tp,10,10.4,4.92833541080772e-05
np,11,10.4,2.57772120483479e-08
sp,11,10.4,1.02519913441666e-06
tp,11,10.4,2.27843178867466e-06
np,12,10.4,2.81923273664789e-21
sp,12,10.4,5.52124021860605e-12
tp,12,10.4,3.27520026217946e-19
np,13,10.4,2.98920983517614e-21
sp,13,10.4,4.44254050417076e-21
tp,13,10.4,8.17295051640879e-21
np,14,10.4,1.19172117509192e-21
sp,14,10.4,5.91046540177253e-21
tp,14,10.4,0
np,15,10.4,3.88189347951863e-21
sp,15,10.4,4.58988538420294e-21
tp,15,10.4,0
np,1,10.5,1.06324727652387e-05
sp,1,10.5,1.09547961892279e-10
tp,1,10.5,3.33597492076158e-06
np,2,10.5,0.0001700547945291
sp,2,10.5,2.40943666056655e-05
tp,2,10.5,0.000169466915426431
np,3,10.5,0.000400534827667149
sp,3,10.5,0.000138910094901228
tp,3,10.5,0.000514155008883292
np,4,10.5,0.000677609879790458
sp,4,10.5,0.00049759048829512
tp,4,10.5,0.000697580413054629
np,5,10.5,0.000960884088940838
sp,5,10.5,0.000839365709780617
tp,5,10.5,0.00094105300662459
np,6,10.5,0.000568918038142213
sp,6,10.5,0.00061388932545049
tp,6,10.5,0.000901707810749487
np,7,10.5,0.000503547881930031
sp,7,10.5,0.000593713115903018
tp,7,10.5,0.000448765633906311
np,8,10.5,0.000203747982789807
sp,8,10.5,0.000426373485877233
tp,8,10.5,9.02735901971052e-05
np,9,10.5,5.66012099020684e-05
sp,9,10.5,0.000155863864440344
tp,9,10.5,3.21155814426384e-05
np,10,10.5,4.97239376765564e-06
sp,10,10.5,3.82059619545868e-05
tp,10,10.5,5.2978227077845e-05
np,11,10.5,3.73987619939372e-08
sp,11,10.5,1.31583592757784e-06
tp,11,10.5,2.85632160376514e-06
np,12,10.5,6.15793477552106e-21
sp,12,10.5,9.53954496833983e-12
tp,12,10.5,7.17408123018484e-19
np,13,10.5,2.76388241862926e-21
sp,13,10.5,1.23822988308079e-20
tp,13,10.5,9.59125638850544e-21
np,14,10.5,4.61698945991638e-22
sp,14,10.5,8.65855562362469e-21
tp,14,10.5,0
np,15,10.5,2.91385726024138e-21
sp,15,10.5,5.11429844264496e-21
tp,15,10.5,0
np,1,10.6,8.92802883810135e-06
sp,1,10.6,6.59439979100192e-11
tp,1,10.6,2.58667807047747e-06
np,2,10.6,0.000158844619926046
sp,2,10.6,2.45297523309699e-05
tp,2,10.6,0.000158771701921182
np,3,10.6,0.000393461190512087
sp,3,10.6,0.000130982949897831
tp,3,10.6,0.000502044241157726
np,4,10.6,0.000653635132094303
sp,4,10.6,0.000474377321567635
tp,4,10.6,0.000680841494336663
np,5,10.6,0.000952827338899232
sp,5,10.6,0.000822571731264911
tp,5,10.6,0.000915349705585008
np,6,10.6,0.000573822109749373
sp,6,10.6,0.000623704036973938
tp,6,10.6,0.000915092222793118
np,7,10.6,0.000509191763658638
sp,7,10.6,0.000580580947908454
tp,7,10.6,0.000471305620471701
np,8,10.6,0.000218602923502644
sp,8,10.6,0.000437164518450793
tp,8,10.6,9.18084466267189e-05
np,9,10.6,6.08918291533756e-05
sp,9,10.6,0.000163785649757878
tp,9,10.6,2.86877694306832e-05
np,10,10.6,6.1095590960162e-06
sp,10,10.6,4.24904642889249e-05
tp,10,10.6,5.63872648062061e-05
np,11,10.6,5.37123986580055e-08
sp,11,10.6,1.6726343928151e-06
tp,11,10.6,3.54507802796401e-06
np,12,10.6,2.73458399902011e-21
sp,12,10.6,1.63111931151038e-11
tp,12,10.6,1.53338681656923e-18
np,13,10.6,1.19301112042773e-21
sp,13,10.6,8.60285960336714e-21
tp,13,10.6,6.14214990680751e-21
np,14,10.6,7.43302722063452e-22
sp,14,10.6,7.44792291282555e-21
tp,14,10.6,0
np,15,10.6,1.96921768674728e-21
sp,15,10.6,2.01569677503787e-21
tp,15,10.6,0
np,1,10.7,7.42981592599514e-06
sp,1,10.7,3.92914970763779e-11
tp,1,10.7,1.98804376860765e-06
np,2,10.7,0.000148408264686162
sp,2,10.7,2.48934548093894e-05
tp,2,10.7,0.000148682526516329
np,3,10.7,0.000385697942971305
sp,3,10.7,0.0001241372164177
tp,3,10.7,0.000491136408985127
np,4,10.7,0.000629679423905229
sp,4,10.7,0.000451378004249192
tp,4,10.7,0.000665659029415367
np,5,10.7,0.000943484375300391
sp,5,10.7,0.000804631778177936
tp,5,10.7,0.000890499378005787
np,6,10.7,0.000578908641700503
sp,6,10.7,0.000635926674196344
tp,6,10.7,0.000926862735781174
np,7,10.7,0.00051360734804199
sp,7,10.7,0.00056705205102687
tp,7,10.7,0.000494048591980355
np,8,10.7,0.000233461318808622
sp,8,10.7,0.00044743032691205
tp,8,10.7,9.40218314527879e-05
np,9,10.7,6.53082361246594e-05
sp,9,10.7,0.000171572995342656
tp,9,10.7,2.55550391363334e-05
np,10,10.7,7.43798632579764e-06
sp,10,10.7,4.69622376679347e-05
tp,10,10.7,5.94230858538183e-05
np,11,10.7,7.6367631208455e-08
sp,11,10.7,2.10592201071629e-06
tp,11,10.7,4.3561437837135e-06
np,12,10.7,1.31225695691273e-21
sp,12,10.7,2.76021615754065e-11
tp,12,10.7,3.30628737739217e-18
np,13,10.7,1.57464127430829e-21
sp,13,10.7,1.91557448001494e-20
tp,13,10.7,3.63474908389953e-21
np,14,10.7,6.30191438271182e-22
sp,14,10.7,5.98871922718544e-21
tp,14,10.7,0
np,15,10.7,2.38450814939795e-21
sp,15,10.7,1.16869482531807e-21
tp,15,10.7,0
np,1,10.8,6.1268470146761e-06
sp,1,10.8,2.31706221373019e-11
tp,1,10.8,1.51434286330823e-06
np,2,10.8,0.000138758545236478
sp,2,10.8,2.51400931008524e-05
tp,2,10.8,0.000139231791483661
np,3,10.8,0.000377196960765477
sp,3,10.8,0.000118297736928536
tp,3,10.8,0.000481426900118615
np,4,10.8,0.000605953874421648
sp,4,10.8,0.000428712638466985
tp,4,10.8,0.00065212590295241
np,5,10.8,0.000933144391172287
sp,5,10.8,0.00078572071878785
tp,5,10.8,0.000866672696205204
np,6,10.8,0.000584077506042985
sp,6,10.8,0.000650238443961166
tp,6,10.8,0.000936855466110398
np,7,10.8,0.000516798116497103
sp,7,10.8,0.00055352121719156
tp,7,10.8,0.000516827247550855
np,8,10.8,0.000248143832082598
sp,8,10.8,0.000457106703052138
tp,8,10.8,9.70171814998145e-05
np,9,10.8,6.98521669111032e-05
sp,9,10.8,0.000179236400147367
tp,9,10.8,2.2774138107444e-05
np,10,10.8,8.97289378607829e-06
sp,10,10.8,5.15955506179298e-05
tp,10,10.8,6.20045852802205e-05
np,11,10.8,1.07493338335013e-07
sp,11,10.8,2.62642007830085e-06
tp,11,10.8,5.29962645578651e-06
np,12,10.8,6.41848176336855e-21
sp,12,10.8,4.62305226433235e-11
tp,12,10.8,7.10157645961637e-18
np,13,10.8,9.77440153145094e-22
sp,13,10.8,6.17218477178947e-20
tp,13,10.8,6.45330599226136e-21
np,14,10.8,2.28198015765527e-21
sp,14,10.8,8.0325250203217e-21
tp,14,10.8,0
np,15,10.8,3.92868677108491e-21
sp,15,10.8,2.27202496015475e-21
tp,15,10.8,2.97632747992388e-23
np,1,10.9,5.00587863471963e-06
sp,1,10.9,1.35223675299945e-11
tp,1,10.9,1.1431120384133e-06
np,2,10.9,0.000129877870086003
sp,2,10.9,2.52335017469047e-05
tp,2,10.9,0.000130432667282814
np,3,10.9,0.000367942794589398
sp,3,10.9,0.000113374599828321
tp,3,10.9,0.000472883023902256
np,4,10.9,0.000582676594588512
sp,4,10.9,0.000406489947699587
tp,4,10.9,0.000640314401557451
np,5,10.9,0.000922096256232818
sp,5,10.9,0.000766033222738736
tp,5,10.9,0.00084400855702849
np,6,10.9,0.000589242242172602
sp,6,10.9,0.000666267777974135
tp,6,10.9,0.000944935826808241
np,7,10.9,0.00051878197384109
sp,7,10.9,0.000540379278121137
tp,7,10.9,0.000539469934190149
np,8,10.9,0.000262464851394172
sp,8,10.9,0.000466135754134204
tp,8,10.9,0.000100885924794259
np,9,10.9,7.45240205341348e-05
sp,9,10.9,0.000186795205593508
tp,9,10.9,2.03924767235815e-05
np,10,10.9,1.07268567203737e-05
sp,10,10.9,5.63632989420292e-05
tp,10,10.9,6.40605659202684e-05
np,11,10.9,1.49799401743505e-07
sp,11,10.9,3.24495354021425e-06
tp,11,10.9,6.38355800241888e-06
np,12,10.9,1.4583372463157e-20
sp,12,10.9,7.66424026661623e-11
tp,12,10.9,1.5072656438841e-17
np,13,10.9,3.04293682249808e-21
sp,13,10.9,1.3727677627811e-19
tp,13,10.9,1.35335350034221e-20
