S1,S2,R,Rcor,O2,O7
0.004632779,0.021589732,4.168274541,22.64271654,3.046990835,4.593855019
0.004663864,0.210865292,4.186340311,22.33360167,3.375433788,6.035390955
0.0072,0.00977,3.4286,1.03E+12,3.4703,5.2342
0.21634,152.88977,3.00953,10580905320,41641.65141,68223.0015
