subject,group,practice,other_type,timepoint,acc,n,chain,nplus,acc_plus,nneg,acc_neg
32,delay,T,NA,1,0.466666666666667,15,5,NA,NA,NA,NA
32,delay,C,T,3,0.4,15,1,6,0.5,9,0.333333333333333
32,delay,C,NA,3,0.133333333333333,15,2,NA,NA,NA,NA
32,delay,S,NA,3,0.666666666666667,15,3,NA,NA,NA,NA
32,delay,T,C,3,NA,15,4,NA,NA,NA,NA
32,delay,T,NA,3,0.466666666666667,15,5,7,0.857142857142857,8,0.125
33,immediate,C,T,1,NA,15,1,NA,NA,NA,NA
33,immediate,C,NA,1,NA,15,2,NA,NA,NA,NA
33,immediate,S,NA,1,NA,15,3,NA,NA,NA,NA
33,immediate,T,C,1,0.733333333333333,15,4,NA,NA,NA,NA
33,immediate,T,NA,1,0.6,15,5,NA,NA,NA,NA
33,immediate,C,T,2,0.8,15,1,11,0.909090909090909,4,0.5
33,immediate,C,NA,2,0.666666666666667,15,2,NA,NA,NA,NA
33,immediate,S,NA,2,0.933333333333333,15,3,NA,NA,NA,NA
33,immediate,T,C,2,NA,15,4,NA,NA,NA,NA
33,immediate,T,NA,2,0.6,15,5,9,1,6,0
34,delay,C,T,1,NA,15,1,NA,NA,NA,NA
34,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
34,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
34,delay,T,C,1,0.866666666666667,15,4,NA,NA,NA,NA
34,delay,T,NA,1,0.6,15,5,NA,NA,NA,NA
34,delay,C,T,3,0.6,15,1,13,0.692307692307692,2,0
34,delay,C,NA,3,0.333333333333333,15,2,NA,NA,NA,NA
34,delay,S,NA,3,0.6,15,3,NA,NA,NA,NA
34,delay,T,C,3,NA,15,4,NA,NA,NA,NA
34,delay,T,NA,3,0.6,15,5,9,1,6,0
35,immediate,C,T,1,NA,15,1,NA,NA,NA,NA
35,immediate,C,NA,1,NA,15,2,NA,NA,NA,NA
35,immediate,S,NA,1,NA,15,3,NA,NA,NA,NA
35,immediate,T,C,1,0.533333333333333,15,4,NA,NA,NA,NA
35,immediate,T,NA,1,0.533333333333333,15,5,NA,NA,NA,NA
35,immediate,C,T,2,0.466666666666667,15,1,8,0.5,7,0.428571428571429
35,immediate,C,NA,2,0.333333333333333,15,2,NA,NA,NA,NA
35,immediate,S,NA,2,0.733333333333333,15,3,NA,NA,NA,NA
35,immediate,T,C,2,NA,15,4,NA,NA,NA,NA
35,immediate,T,NA,2,0.466666666666667,15,5,8,0.875,7,0
36,delay,C,T,1,NA,15,1,NA,NA,NA,NA
36,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
36,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
36,delay,T,C,1,0.133333333333333,15,4,NA,NA,NA,NA
36,delay,T,NA,1,0.2,15,5,NA,NA,NA,NA
