subject,group,practice,other_type,prac_acc,final_acc,n,chain,acc_plus,nplus,acc_neg,nneg,prac_and_final,prac_and_not_final,not_prac_and_final,not_prac_and_not_final
78,delay,C,T,NA,0.2,15,1,0.2,10,0.2,5,0.133333333333333,0.533333333333333,0.0666666666666667,0.266666666666667
78,delay,C,NA,NA,0.533333333333333,15,2,NA,NA,NA,NA,NA,NA,NA,NA
78,delay,S,NA,NA,0.733333333333333,15,3,NA,NA,NA,NA,NA,NA,NA,NA
78,delay,T,C,0.666666666666667,NA,15,4,NA,10,NA,5,NA,NA,NA,NA
78,delay,T,NA,0.866666666666667,0.6,15,5,0.692307692307692,13,0,2,0.6,0.266666666666667,0,0.133333333333333
79,immediate,C,T,NA,0.6,15,1,0.333333333333333,9,1,6,NA,NA,NA,NA
79,immediate,C,NA,NA,0.466666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
79,immediate,S,NA,NA,1,15,3,NA,NA,NA,NA,NA,NA,NA,NA
79,immediate,T,C,0.6,NA,15,4,NA,9,NA,6,NA,NA,NA,NA
79,immediate,T,NA,0.733333333333333,0.733333333333333,15,5,1,11,0,4,NA,NA,NA,NA
80,delay,C,T,NA,0.0666666666666667,15,1,0,7,0.125,8,0,0.466666666666667,0.0666666666666667,0.466666666666667
80,delay,C,NA,NA,0.133333333333333,15,2,NA,NA,NA,NA,NA,NA,NA,NA
80,delay,S,NA,NA,0.333333333333333,15,3,NA,NA,NA,NA,NA,NA,NA,NA
80,delay,T,C,0.466666666666667,NA,15,4,NA,7,NA,8,NA,NA,NA,NA
80,delay,T,NA,0.266666666666667,0.2,15,5,0.75,4,0,11,0.2,0.0666666666666667,0,0.733333333333333
81,immediate,C,T,NA,0.8,15,1,0.9,10,0.6,5,0.6,0.0666666666666667,0.2,0.133333333333333
81,immediate,C,NA,NA,0.533333333333333,15,2,NA,NA,NA,NA,NA,NA,NA,NA
81,immediate,S,NA,NA,0.866666666666667,15,3,NA,NA,NA,NA,NA,NA,NA,NA
81,immediate,T,C,0.666666666666667,NA,15,4,NA,10,NA,5,NA,NA,NA,NA
81,immediate,T,NA,0.466666666666667,0.466666666666667,15,5,1,7,0,8,0.466666666666667,0,0,0.533333333333333
82,delay,C,T,NA,0.266666666666667,15,1,0.444444444444444,9,0,6,0.266666666666667,0.333333333333333,0,0.4
82,delay,C,NA,NA,0.333333333333333,15,2,NA,NA,NA,NA,NA,NA,NA,NA
82,delay,S,NA,NA,0.6,15,3,NA,NA,NA,NA,NA,NA,NA,NA
82,delay,T,C,0.6,NA,15,4,NA,9,NA,6,NA,NA,NA,NA
82,delay,T,NA,0.466666666666667,0.4,15,5,0.857142857142857,7,0,8,0.4,0.0666666666666667,0,0.533333333333333
83,immediate,C,T,NA,0.466666666666667,15,1,0.454545454545455,11,0.5,4,0.333333333333333,0.4,0.133333333333333,0.133333333333333
83,immediate,C,NA,NA,0.6,15,2,NA,NA,NA,NA,NA,NA,NA,NA
83,immediate,S,NA,NA,0.8,15,3,NA,NA,NA,NA,NA,NA,NA,NA
83,immediate,T,C,0.733333333333333,NA,15,4,NA,11,NA,4,NA,NA,NA,NA
83,immediate,T,NA,1,1,15,5,1,15,NA,0,1,0,0,0
84,delay,C,T,NA,0.333333333333333,15,1,0.4,5,0.3,10,0.133333333333333,0.2,0.2,0.466666666666667
84,delay,C,NA,NA,0.133333333333333,15,2,NA,NA,NA,NA,NA,NA,NA,NA
84,delay,S,NA,NA,0.533333333333333,15,3,NA,NA,NA,NA,NA,NA,NA,NA
84,delay,T,C,0.333333333333333,NA,15,4,NA,5,NA,10,NA,NA,NA,NA
84,delay,T,NA,0.6,0.4,15,5,0.555555555555556,9,0.166666666666667,6,0.333333333333333,0.266666666666667,0.0666666666666667,0.333333333333333
85,delay,C,T,NA,0.6,15,1,0.538461538461538,13,1,2,NA,NA,NA,NA
85,delay,C,NA,NA,0.533333333333333,15,2,NA,NA,NA,NA,NA,NA,NA,NA
85,delay,S,NA,NA,0.933333333333333,15,3,NA,NA,NA,NA,NA,NA,NA,NA
85,delay,T,C,0.866666666666667,NA,15,4,NA,13,NA,2,NA,NA,NA,NA
85,delay,T,NA,0.866666666666667,0.8,15,5,0.923076923076923,13,0,2,NA,NA,NA,NA
86,immediate,C,T,NA,0.4,15,1,0.571428571428571,7,0.25,8,0.266666666666667,0.2,0.133333333333333,0.4
86,immediate,C,NA,NA,0.266666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
86,immediate,S,NA,NA,0.733333333333333,15,3,NA,NA,NA,NA,NA,NA,NA,NA
86,immediate,T,C,0.466666666666667,NA,15,4,NA,7,NA,8,NA,NA,NA,NA
86,immediate,T,NA,0.333333333333333,0.266666666666667,15,5,0.8,5,0,10,0.266666666666667,0.0666666666666667,0,0.666666666666667
87,immediate,C,T,NA,0.466666666666667,15,1,0.444444444444444,9,0.5,6,0.266666666666667,0.333333333333333,0.2,0.2
87,immediate,C,NA,NA,0.6,15,2,NA,NA,NA,NA,NA,NA,NA,NA
87,immediate,S,NA,NA,0.866666666666667,15,3,NA,NA,NA,NA,NA,NA,NA,NA
87,immediate,T,C,0.6,NA,15,4,NA,9,NA,6,NA,NA,NA,NA
87,immediate,T,NA,0.4,0.4,15,5,1,6,0,9,0.4,0,0,0.6
88,immediate,C,T,NA,0.933333333333333,15,1,0.928571428571429,14,1,1,NA,NA,NA,NA
88,immediate,C,NA,NA,0.933333333333333,15,2,NA,NA,NA,NA,NA,NA,NA,NA
88,immediate,S,NA,NA,0.866666666666667,15,3,NA,NA,NA,NA,NA,NA,NA,NA
88,immediate,T,C,0.933333333333333,NA,15,4,NA,14,NA,1,NA,NA,NA,NA
88,immediate,T,NA,1,1,15,5,1,15,NA,0,NA,NA,NA,NA
89,delay,C,T,NA,0.6,15,1,0.7,10,0.4,5,0.466666666666667,0.2,0.133333333333333,0.2
89,delay,C,NA,NA,0.466666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
89,delay,S,NA,NA,0.733333333333333,15,3,NA,NA,NA,NA,NA,NA,NA,NA
89,delay,T,C,0.666666666666667,NA,15,4,NA,10,NA,5,NA,NA,NA,NA
89,delay,T,NA,0.866666666666667,0.8,15,5,0.923076923076923,13,0,2,0.8,0.0666666666666667,0,0.133333333333333
