subject,group,practice,other_type,prac_acc,final_acc,n,chain,acc_plus,nplus,acc_neg,nneg,prac_and_final,prac_and_not_final,not_prac_and_final,not_prac_and_not_final
34,delay,T,C,0.866666666666667,NA,15,4,NA,13,NA,2,NA,NA,NA,NA
34,delay,T,NA,0.6,0.6,15,5,1,9,0,6,0.6,0,0,0.4
35,immediate,C,T,NA,0.466666666666667,15,1,0.5,8,0.428571428571429,7,0.266666666666667,0.266666666666667,0.2,0.266666666666667
35,immediate,C,NA,NA,0.333333333333333,15,2,NA,NA,NA,NA,NA,NA,NA,NA
35,immediate,S,NA,NA,0.733333333333333,15,3,NA,NA,NA,NA,NA,NA,NA,NA
35,immediate,T,C,0.533333333333333,NA,15,4,NA,8,NA,7,NA,NA,NA,NA
35,immediate,T,NA,0.533333333333333,0.466666666666667,15,5,0.875,8,0,7,0.466666666666667,0.0666666666666667,0,0.466666666666667
36,delay,C,T,NA,0,15,1,0,2,0,13,0,0.133333333333333,0,0.866666666666667
36,delay,C,NA,NA,0.133333333333333,15,2,NA,NA,NA,NA,NA,NA,NA,NA
36,delay,S,NA,NA,0.2,15,3,NA,NA,NA,NA,NA,NA,NA,NA
36,delay,T,C,0.133333333333333,NA,15,4,NA,2,NA,13,NA,NA,NA,NA
36,delay,T,NA,0.2,0.0666666666666667,15,5,0.333333333333333,3,0,12,0.0666666666666667,0.133333333333333,0,0.8
37,delay,C,T,NA,0.666666666666667,15,1,0.75,12,0.333333333333333,3,0.6,0.2,0.0666666666666667,0.133333333333333
37,delay,C,NA,NA,0.466666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
37,delay,S,NA,NA,0.8,15,3,NA,NA,NA,NA,NA,NA,NA,NA
37,delay,T,C,0.8,NA,15,4,NA,12,NA,3,NA,NA,NA,NA
37,delay,T,NA,0.733333333333333,0.666666666666667,15,5,0.909090909090909,11,0,4,0.666666666666667,0.0666666666666667,0,0.266666666666667
38,delay,C,T,NA,0.133333333333333,15,1,0,4,0.181818181818182,11,0,0.266666666666667,0.133333333333333,0.6
38,delay,C,NA,NA,0.0666666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
38,delay,S,NA,NA,0.4,15,3,NA,NA,NA,NA,NA,NA,NA,NA
38,delay,T,C,0.266666666666667,NA,15,4,NA,4,NA,11,NA,NA,NA,NA
38,delay,T,NA,0.466666666666667,0.4,15,5,0.714285714285714,7,0.125,8,0.333333333333333,0.133333333333333,0.0666666666666667,0.466666666666667
39,delay,C,T,NA,0.266666666666667,15,1,0.5,6,0.111111111111111,9,0.2,0.2,0.0666666666666667,0.533333333333333
39,delay,C,NA,NA,0,15,2,NA,NA,NA,NA,NA,NA,NA,NA
39,delay,S,NA,NA,0.533333333333333,15,3,NA,NA,NA,NA,NA,NA,NA,NA
39,delay,T,C,0.4,NA,15,4,NA,6,NA,9,NA,NA,NA,NA
39,delay,T,NA,0.2,0.2,15,5,1,3,0,12,0.2,0,0,0.8
40,immediate,C,T,NA,0.266666666666667,15,1,0.333333333333333,6,0.222222222222222,9,0.133333333333333,0.266666666666667,0.133333333333333,0.466666666666667
40,immediate,C,NA,NA,0.133333333333333,15,2,NA,NA,NA,NA,NA,NA,NA,NA
40,immediate,S,NA,NA,1,15,3,NA,NA,NA,NA,NA,NA,NA,NA
40,immediate,T,C,0.4,NA,15,4,NA,6,NA,9,NA,NA,NA,NA
40,immediate,T,NA,0.4,0.4,15,5,1,6,0,9,0.4,0,0,0.6
41,immediate,C,T,NA,0.6,15,1,0.714285714285714,7,0.5,8,0.333333333333333,0.133333333333333,0.266666666666667,0.266666666666667
41,immediate,C,NA,NA,0.333333333333333,15,2,NA,NA,NA,NA,NA,NA,NA,NA
41,immediate,S,NA,NA,0.6,15,3,NA,NA,NA,NA,NA,NA,NA,NA
41,immediate,T,C,0.466666666666667,NA,15,4,NA,7,NA,8,NA,NA,NA,NA
41,immediate,T,NA,0.4,0.266666666666667,15,5,0.666666666666667,6,0,9,0.266666666666667,0.133333333333333,0,0.6
42,delay,C,T,NA,0.2,15,1,0.2,10,0.2,5,0.133333333333333,0.533333333333333,0.0666666666666667,0.266666666666667
42,delay,C,NA,NA,0.266666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
42,delay,S,NA,NA,0.6,15,3,NA,NA,NA,NA,NA,NA,NA,NA
42,delay,T,C,0.666666666666667,NA,15,4,NA,10,NA,5,NA,NA,NA,NA
42,delay,T,NA,0.4,0.266666666666667,15,5,0.666666666666667,6,0,9,0.266666666666667,0.133333333333333,0,0.6
43,delay,C,T,NA,0.666666666666667,15,1,0.75,8,0.571428571428571,7,0.4,0.133333333333333,0.266666666666667,0.2
43,delay,C,NA,NA,0.466666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
43,delay,S,NA,NA,0.866666666666667,15,3,NA,NA,NA,NA,NA,NA,NA,NA
43,delay,T,C,0.533333333333333,NA,15,4,NA,8,NA,7,NA,NA,NA,NA
43,delay,T,NA,0.533333333333333,0.533333333333333,15,5,1,8,0,7,0.533333333333333,0,0,0.466666666666667
44,delay,C,T,NA,0,15,1,0,6,0,9,0,0.4,0,0.6
44,delay,C,NA,NA,0.0666666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
44,delay,S,NA,NA,0.133333333333333,15,3,NA,NA,NA,NA,NA,NA,NA,NA
44,delay,T,C,0.4,NA,15,4,NA,6,NA,9,NA,NA,NA,NA
44,delay,T,NA,0.266666666666667,0.2,15,5,0.75,4,0,11,0.2,0.0666666666666667,0,0.733333333333333
45,delay,C,T,NA,0.333333333333333,15,1,0.571428571428571,7,0.125,8,0.266666666666667,0.2,0.0666666666666667,0.466666666666667
45,delay,C,NA,NA,0.266666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
45,delay,S,NA,NA,0.533333333333333,15,3,NA,NA,NA,NA,NA,NA,NA,NA
45,delay,T,C,0.466666666666667,NA,15,4,NA,7,NA,8,NA,NA,NA,NA
45,delay,T,NA,0.6,0.6,15,5,1,9,0,6,0.6,0,0,0.4
47,immediate,C,T,NA,0.8,15,1,0.9,10,0.6,5,0.6,0.0666666666666667,0.2,0.133333333333333
47,immediate,C,NA,NA,0.4,15,2,NA,NA,NA,NA,NA,NA,NA,NA
47,immediate,S,NA,NA,0.8,15,3,NA,NA,NA,NA,NA,NA,NA,NA
47,immediate,T,C,0.666666666666667,NA,15,4,NA,10,NA,5,NA,NA,NA,NA
47,immediate,T,NA,0.733333333333333,0.666666666666667,15,5,0.909090909090909,11,0,4,0.666666666666667,0.0666666666666667,0,0.266666666666667
